history_messages,call_count,avg_input_tokens,avg_output_tokens,avg_total_tokens,median_input_tokens,p90_input_tokens
1,38,2843.95,60.21,2904.16,3794.0,5994
2,3,3920.33,115.67,4036.0,3921,4009
3,49,3507.16,80.29,3587.45,4447,6391
4,5,4010.8,132.0,4142.8,3984,4282
5,33,5375.76,118.7,5494.45,4819,6746
6,4,4426.0,221.5,4647.5,4043.5,5659
7,29,5664.72,181.69,5846.41,5401,7102
8,4,3969.25,648.0,4617.25,3954.5,4055
9,24,6230.29,159.96,6390.25,5526.0,7315
10,5,4216.0,279.6,4495.6,4154,4693
11,19,6016.84,82.53,6099.37,5899,7533
12,6,4150.33,230.0,4380.33,4131.5,4255
13,16,6051.94,159.94,6211.88,5524.5,7631
14,5,4260.4,245.8,4506.2,4272,4535
15,17,6311.65,168.41,6480.06,5702,11108
16,4,4414.5,124.0,4538.5,4482.5,4630
17,12,6012.5,134.75,6147.25,5214.5,7322
18,2,4525.5,144.5,4670.0,4525.5,4822
19,10,6437.4,149.0,6586.4,6282.0,7500
20,2,4285.5,165.5,4451.0,4285.5,4292
21,6,8502.0,270.0,8772.0,7230.0,14801
22,2,4380.5,98.5,4479.0,4380.5,4457
23,5,6136.0,794.2,6930.2,6058,7422
24,2,4421.0,156.0,4577.0,4421.0,4469
25,3,7300.67,644.33,7945.0,7537,7538
26,3,4721.67,160.0,4881.67,4543,5260
27,2,5688.5,202.5,5891.0,5688.5,7009
28,2,5025.0,49.0,5074.0,5025.0,5335
29,2,4920.0,470.0,5390.0,4920.0,5307
31,1,5279.0,439.0,5718.0,5279,5279
33,1,5633.0,422.0,6055.0,5633,5633
35,1,5736.0,170.0,5906.0,5736,5736
36,1,5623.0,309.0,5932.0,5623,5623
37,1,5781.0,427.0,6208.0,5781,5781
38,1,6373.0,224.0,6597.0,6373,6373
39,1,5860.0,84.0,5944.0,5860,5860
40,8,5801.62,699.12,6500.75,5806.0,5948
42,2,6403.5,501.0,6904.5,6403.5,6723
